Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
67,Exit short,2026-08-21 02:12,Short X,4574.5,1,45771,24.76,0.05,1.24,25.38,0.06,-25.62,-0.06,1543.92,0.15,4
67,Entry short,2026-08-21 02:04,Short,4577.1,1,45771,24.76,0.05,1.24,25.38,0.06,-25.62,-0.06,1543.92,0.15,4
68,Exit long,2026-08-21 03:24,Long X,4585,1,45811,37.76,0.08,1.24,38.38,0.08,-23.62,-0.05,1581.68,0.16,5
68,Entry long,2026-08-21 03:14,Long,4581.1,1,45811,37.76,0.08,1.24,38.38,0.08,-23.62,-0.05,1581.68,0.16,5
69,Exit short,2026-08-21 22:18,Short X,4669.6,1,46735,37.76,0.08,1.24,38.38,0.08,-127.62,-0.27,1619.44,0.16,88
69,Entry short,2026-08-21 19:22,Short,4673.5,1,46735,37.76,0.08,1.24,38.38,0.08,-127.62,-0.27,1619.44,0.16,88
70,Exit short,2026-08-26 01:22,Short X,4719.8,1,47217,17.76,0.04,1.24,18.38,0.04,-7.62,-0.02,1637.2,0.16,1
70,Entry short,2026-08-26 01:20,Short,4721.7,1,47217,17.76,0.04,1.24,18.38,0.04,-7.62,-0.02,1637.2,0.16,1
71,Exit long,2026-08-26 03:56,Long X,4711.7,1,47071,44.76,0.10,1.24,45.38,0.10,-119.62,-0.25,1681.96,0.17,20
71,Entry long,2026-08-26 03:16,Long,4707.1,1,47071,44.76,0.10,1.24,45.38,0.10,-119.62,-0.25,1681.96,0.17,20
72,Exit long,2026-08-26 20:06,Long X,4660,1,46569,29.76,0.06,1.24,30.38,0.07,-76.62,-0.16,1711.72,0.17,17
72,Entry long,2026-08-26 19:32,Long,4656.9,1,46569,29.76,0.06,1.24,30.38,0.07,-76.62,-0.16,1711.72,0.17,17
73,Exit short,2026-08-26 21:20,Short X,4645.7,1,46481,22.76,0.05,1.24,23.38,0.05,-26.62,-0.06,1734.48,0.17,13
73,Entry short,2026-08-26 20:54,Short,4648.1,1,46481,22.76,0.05,1.24,23.38,0.05,-26.62,-0.06,1734.48,0.17,13
