Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
74,Entry short,2026-07-07 15:34,M4 Short,29532.25,1,59064.5,-115.24,-0.20,1.24,81.88,0.14,-114.62,-0.19,3802.74,0.38,7
75,Exit long,2026-07-08 16:11,M4 SL,29267.25,1,58747.5,-214.24,-0.36,1.24,49.88,0.08,-213.62,-0.36,3588.5,0.36,31
75,Entry long,2026-07-08 15:40,M4 Long,29373.75,1,58747.5,-214.24,-0.36,1.24,49.88,0.08,-213.62,-0.36,3588.5,0.36,31
76,Exit short,2026-07-10 15:40,M3 TP,29829.75,1,59787,126.26,0.21,1.24,126.88,0.21,-12.62,-0.02,3714.76,0.37,2
76,Entry short,2026-07-10 15:38,M3 Short,29893.5,1,59787,126.26,0.21,1.24,126.88,0.21,-12.62,-0.02,3714.76,0.37,2
77,Exit short,2026-07-10 15:49,M1 SL,29930.25,1,59759.5,-102.24,-0.17,1.24,37.38,0.06,-101.62,-0.17,3612.52,0.36,4
77,Entry short,2026-07-10 15:45,M1 Short,29879.75,1,59759.5,-102.24,-0.17,1.24,37.38,0.06,-101.62,-0.17,3612.52,0.36,4
78,Exit short,2026-07-10 16:32,RCL TP,29829.75,1,59790,129.26,0.22,1.24,129.88,0.22,-125.12,-0.21,3741.78,0.37,8
78,Entry short,2026-07-10 16:24,Reclaim Short C2,29895,1,59790,129.26,0.22,1.24,129.88,0.22,-125.12,-0.21,3741.78,0.37,8
79,Exit long,2026-07-13 15:40,M3 SL,29604,1,59307.5,-100.74,-0.17,1.24,15.38,0.03,-100.12,-0.17,3641.04,0.36,2
79,Entry long,2026-07-13 15:38,M3 Long,29653.75,1,59307.5,-100.74,-0.17,1.24,15.38,0.03,-100.12,-0.17,3641.04,0.36,2
80,Exit long,2026-07-13 16:16,RCL SL,29516.75,1,59239.5,-207.24,-0.35,1.24,78.88,0.13,-206.62,-0.35,3433.8,0.34,13
80,Entry long,2026-07-13 16:03,Reclaim Long C2,29619.75,1,59239.5,-207.24,-0.35,1.24,78.88,0.13,-206.62,-0.35,3433.8,0.34,13
81,Exit long,2026-07-15 16:15,M3 Break-even Exit,29791,1,59583,-2.24,0.00,1.24,200.88,0.34,-62.12,-0.10,3431.56,0.34,23
81,Entry long,2026-07-15 15:52,M3 Long,29791.5,1,59583,-2.24,0.00,1.24,200.88,0.34,-62.12,-0.10,3431.56,0.34,23
