Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
341,Entry short,2026-03-26 20:10,Short,23836.25,4,190690,238.76,0.13,1.24,239.38,0.13,-182.62,-0.10,19079.16,38.16,7
342,Exit short,2026-03-27 11:35,Short Bracket,23705.5,4,189868,222.76,0.12,1.24,223.38,0.12,-272.62,-0.14,19301.92,38.60,6
342,Entry short,2026-03-27 11:05,Short,23733.5,4,189868,222.76,0.12,1.24,223.38,0.12,-272.62,-0.14,19301.92,38.60,6
343,Exit short,2026-03-27 14:00,Short Bracket,23588,4,188944,238.76,0.13,1.24,239.38,0.13,-316.62,-0.17,19540.68,39.08,10
343,Entry short,2026-03-27 13:10,Short,23618,4,188944,238.76,0.13,1.24,239.38,0.13,-316.62,-0.17,19540.68,39.08,10
344,Exit short,2026-03-27 15:50,Short Bracket,23524.75,4,187654,-545.24,-0.29,1.24,143.38,0.08,-544.62,-0.29,18995.44,37.99,2
344,Entry short,2026-03-27 15:40,Short,23456.75,4,187654,-545.24,-0.29,1.24,143.38,0.08,-544.62,-0.29,18995.44,37.99,2
345,Exit long,2026-03-30 15:30,Long Bracket,23530,4,187996,242.76,0.13,1.24,243.38,0.13,-144.62,-0.08,19238.2,38.48,13
345,Entry long,2026-03-30 14:25,Long,23499.5,4,187996,242.76,0.13,1.24,243.38,0.13,-144.62,-0.08,19238.2,38.48,13
346,Exit long,2026-03-31 16:40,Long Bracket,23499.75,4,188546,-549.24,-0.29,1.24,161.38,0.09,-548.62,-0.29,18688.96,37.38,2
346,Entry long,2026-03-31 16:30,Long,23568.25,4,188546,-549.24,-0.29,1.24,161.38,0.09,-548.62,-0.29,18688.96,37.38,2
347,Exit long,2026-03-31 20:25,Long Bracket,23848,4,190544,238.76,0.13,1.24,239.38,0.13,-196.62,-0.10,18927.72,37.86,2
347,Entry long,2026-03-31 20:15,Long,23818,4,190544,238.76,0.13,1.24,239.38,0.13,-196.62,-0.10,18927.72,37.86,2
348,Exit long,2026-04-01 18:15,Long Bracket,24331,4,194412,234.76,0.12,1.24,235.38,0.12,-54.62,-0.03,19162.48,38.32,4
348,Entry long,2026-04-01 17:55,Long,24301.5,4,194412,234.76,0.12,1.24,235.38,0.12,-54.62,-0.03,19162.48,38.32,4
349,Exit short,2026-04-07 14:15,Short Bracket,24148.25,4,193424,236.76,0.12,1.24,237.38,0.12,-96.62,-0.05,19399.24,38.80,1
349,Entry short,2026-04-07 14:10,Short,24178,4,193424,236.76,0.12,1.24,237.38,0.12,-96.62,-0.05,19399.24,38.80,1
350,Exit long,2026-04-07 20:40,Long Bracket,24163.5,4,193850,-543.24,-0.28,1.24,187.38,0.10,-542.62,-0.28,18856,37.71,11
350,Entry long,2026-04-07 19:45,Long,24231.25,4,193850,-543.24,-0.28,1.24,187.38,0.10,-542.62,-0.28,18856,37.71,11
351,Exit long,2026-04-09 15:55,Long Bracket,25008,4,200608,-545.24,-0.27,1.24,0,0.00,-544.62,-0.27,18310.76,36.62,1
351,Entry long,2026-04-09 15:50,Long,25076,4,200608,-545.24,-0.27,1.24,0,0.00,-544.62,-0.27,18310.76,36.62,1
352,Exit long,2026-04-09 19:40,Long Bracket,25255,4,201802,236.76,0.12,1.24,237.38,0.12,-276.62,-0.14,18547.52,37.10,6
352,Entry long,2026-04-09 19:10,Long,25225.25,4,201802,236.76,0.12,1.24,237.38,0.12,-276.62,-0.14,18547.52,37.10,6
353,Exit long,2026-04-10 15:30,Long Bracket,25343,4,202506,236.76,0.12,1.24,237.38,0.12,-158.62,-0.08,18784.28,37.57,10
353,Entry long,2026-04-10 14:40,Long,25313.25,4,202506,236.76,0.12,1.24,237.38,0.12,-158.62,-0.08,18784.28,37.57,10
354,Exit long,2026-04-10 17:15,Long Bracket,25375.5,4,202768,234.76,0.12,1.24,235.38,0.12,-320.62,-0.16,19019.04,38.04,7
354,Entry long,2026-04-10 16:40,Long,25346,4,202768,234.76,0.12,1.24,235.38,0.12,-320.62,-0.16,19019.04,38.04,7
355,Exit long,2026-04-13 16:50,Long Bracket,25335,4,202440,238.76,0.12,1.24,239.38,0.12,-246.62,-0.12,19257.8,38.52,3
355,Entry long,2026-04-13 16:35,Long,25305,4,202440,238.76,0.12,1.24,239.38,0.12,-246.62,-0.12,19257.8,38.52,3
356,Exit long,2026-04-13 18:20,Long Bracket,25358.75,4,202636,232.76,0.11,1.24,233.38,0.12,-8.62,0.00,19490.56,38.98,0
356,Entry long,2026-04-13 18:20,Long,25329.5,4,202636,232.76,0.11,1.24,233.38,0.12,-8.62,0.00,19490.56,38.98,0
357,Exit long,2026-04-13 20:55,Long Bracket,25453.75,4,203394,234.76,0.12,1.24,235.38,0.12,-6.62,0.00,19725.32,39.45,2
357,Entry long,2026-04-13 20:45,Long,25424.25,4,203394,234.76,0.12,1.24,235.38,0.12,-6.62,0.00,19725.32,39.45,2
358,Exit long,2026-04-14 17:30,Long Bracket,25847.75,4,206544,236.76,0.11,1.24,237.38,0.11,-444.62,-0.22,19962.08,39.92,7
