Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
221,Exit long,2026-08-14 15:48,POST-TP TRAIL,30270,1,60403.5,135.57,0.22,0.93,157.69,0.26,-17.81,-0.03,3439.18,0.34,10
221,Entry long,2026-08-14 15:38,LONG,30201.75,1,60403.5,135.57,0.22,0.93,157.69,0.26,-17.81,-0.03,3439.18,0.34,10
222,Exit long,2026-08-14 16:30,SL,30133.75,1,60320,-53.43,-0.09,0.93,7.19,0.01,-52.81,-0.09,3385.44,0.34,1
222,Entry long,2026-08-14 16:29,LONG,30160,1,60320,-53.43,-0.09,0.93,7.19,0.01,-52.81,-0.09,3385.44,0.34,1
223,Exit long,2026-08-14 16:30,SL,30133.75,1,60320,-53.43,-0.09,0.93,7.19,0.01,-52.81,-0.09,3332.32,0.33,1
223,Entry long,2026-08-14 16:29,LONG,30160,1,60320,-53.43,-0.09,0.93,7.19,0.01,-52.81,-0.09,3332.32,0.33,1
224,Exit short,2026-08-17 17:41,TP MID,30215.5,1,60517.5,85.57,0.14,0.93,86.19,0.14,-40.81,-0.07,3417.58,0.34,32
224,Entry short,2026-08-17 17:09,SHORT,30258.75,1,60517.5,85.57,0.14,0.93,86.19,0.14,-40.81,-0.07,3417.58,0.34,32
225,Exit short,2026-08-17 19:05,POST-TP TRAIL,30166.5,1,60517.5,183.57,0.30,0.93,194.69,0.32,-40.81,-0.07,3601.46,0.36,116
225,Entry short,2026-08-17 17:09,SHORT,30258.75,1,60517.5,183.57,0.30,0.93,194.69,0.32,-40.81,-0.07,3601.46,0.36,116
226,Exit long,2026-08-17 19:11,FV929 SL,30153.5,1,60322.5,-16.74,-0.03,1.24,5.38,0.01,-16.12,-0.03,3584.72,0.36,2
226,Entry long,2026-08-17 19:09,FV929_LONG,30161.25,1,60322.5,-16.74,-0.03,1.24,5.38,0.01,-16.12,-0.03,3584.72,0.36,2
227,Exit short,2026-08-18 15:43,TP MID,29720.5,1,59483,41.07,0.07,0.93,41.69,0.07,-6.81,-0.01,3625.48,0.36,1
227,Entry short,2026-08-18 15:42,SHORT,29741.5,1,59483,41.07,0.07,0.93,41.69,0.07,-6.81,-0.01,3625.48,0.36,1
